Time,V_T
41.60400198,1.811274
41.60500198,0.9048738
41.60600198,0.4531998
41.60700198,0.4531998
41.60800198,0.00152593
41.60900198,0.9048738
41.61000198,0.4531998
41.61100198,-0.4516739
41.61200198,0.4531998
41.61300198,0.9048738
41.61400198,-0.4516739
41.61500198,0.9048738
41.61600198,-0.9048738
41.61700198,0.00152593
41.61800198,0.4531998
41.61900198,1.358074
41.62000198,-0.4516739
41.62100198,0.9048738
41.62200198,0.00152593
41.62300198,0.4531998
41.62400198,0.4531998
41.62500198,-0.9048738
41.62600198,1.358074
41.62700198,-0.4516739
41.62800198,0.00152593
41.62900198,0.9048738
41.63000198,0.00152593
41.63100198,-0.4516739
41.63200198,0.00152593
41.63300198,0.00152593
41.63400198,0.4531998
41.63500198,0.4531998
41.63600198,-0.9048738
41.63700198,0.4531998
41.63800198,0.00152593
41.63900198,0.9048738
41.64000198,0.00152593
41.64100198,0.9048738
41.64200198,1.358074
41.64300198,0.00152593
41.64400198,0.9048738
41.64500198,-0.4516739
41.64600198,0.9048738
41.64700198,0.4531998
41.64800198,-0.4516739
41.64900198,-0.4516739
41.65000198,1.358074
41.65100198,0.4531998
41.65200198,-0.9048738
41.65300198,0.4531998
41.65400198,0.9048738
41.65500198,-0.9048738
41.65600198,0.4531998
41.65700198,0.9048738
41.65800198,-0.9048738
41.65900198,0.4531998
41.66000198,-0.4516739
41.66100198,-0.4516739
41.66200198,-0.4516739
41.66300198,0.4531998
41.66400198,0.4531998
41.66500198,0.9048738
41.66600198,0.4531998
41.66700198,-0.4516739
41.66800198,0.9048738
41.66900198,0.4531998
41.67000198,-0.4516739
41.67100198,0.4531998
41.67200198,-0.4516739
41.67300198,0.9048738
41.67400198,0.4531998
41.67500198,0.00152593
41.67600198,0.00152593
41.67700198,0.4531998
41.67800198,-0.4516739
41.67900198,0.4531998
41.68000198,0.00152593
41.68100198,-0.4516739
41.68200198,0.4531998
41.68300198,0.4531998
41.68400198,1.358074
41.68500198,-0.9048738
41.68600198,0.4531998
41.68700198,1.358074
41.68800198,0.00152593
41.68900198,0.4531998
41.69000198,-0.4516739
41.69100198,0.00152593
41.69200198,1.358074
41.69300198,1.358074
41.69400198,0.00152593
41.69500198,-1.811274
41.69600198,-0.4516739
41.69700198,0.4531998
41.69800198,0.9048738
41.69900198,0.4531998
41.70000198,-0.4516739
41.70100198,0.9048738
41.70200198,0.4531998
41.70300198,0.4531998
41.70400198,0.4531998
41.70500198,0.4531998
41.70600198,1.358074
41.70700198,0.00152593
41.70800198,-0.4516739
41.70900198,0.4531998
41.71000198,-0.4516739
41.71100198,0.4531998
41.71200198,0.00152593
41.71300198,-0.4516739
41.71400198,0.00152593
41.71500198,-1.358074
41.71600198,0.00152593
41.71700198,0.9048738
41.71800198,-1.358074
41.71900198,0.9048738
41.72000198,1.358074
41.72100198,-0.4516739
41.72200198,0.9048738
41.72300198,-0.9048738
41.72400198,-0.4516739
41.72500198,0.4531998
41.72600198,0.00152593
41.72700198,0.00152593
41.72800198,0.4531998
41.72900198,-0.9048738
41.73000198,0.00152593
41.73100198,-0.9048738
41.73200198,0.00152593
41.73300198,0.9048738
41.73400198,-0.9048738
41.73500198,-0.4516739
41.73600198,0.00152593
41.73700198,-0.4516739
41.73800198,0.9048738
41.73900198,-0.4516739
41.74000198,0.9048738
41.74100198,1.358074
41.74200198,0.4531998
41.74300198,0.4531998
41.74400198,0.4531998
41.74500198,-0.9048738
41.74600198,1.358074
41.74700198,-1.811274
41.74800198,0.00152593
41.74900198,0.00152593
41.75000198,0.00152593
41.75100198,0.9048738
41.75200198,0.4531998
41.75300198,0.00152593
41.75400198,-0.4516739
41.75500198,0.00152593
41.75600198,0.4531998
41.75700198,-0.4516739
41.75800198,-0.4516739
41.75900198,0.4531998
41.76000198,-0.4516739
41.76100198,-0.4516739
41.76200198,-0.9048738
41.76300198,0.4531998
41.76400198,-0.4516739
41.76500198,0.4531998
41.76600198,1.358074
41.76700198,0.00152593
41.76800198,0.00152593
41.76900198,1.358074
41.77000198,-0.4516739
41.77100198,0.4531998
41.77200198,0.9048738
41.77300198,-0.4516739
41.77400198,0.4531998
41.77500198,-0.4516739
41.77600198,0.00152593
41.77700198,0.9048738
41.77800198,0.00152593
41.77900198,0.4531998
41.78000198,1.358074
41.78100198,-0.4516739
41.78200198,1.358074
41.78300198,0.4531998
41.78400198,0.00152593
41.78500198,0.4531998
41.78600198,-0.4516739
41.78700198,0.4531998
41.78800198,-0.4516739
41.78900198,-0.9048738
41.79000198,0.00152593
41.79100198,0.4531998
41.79200199,-0.4516739
41.79300199,-0.4516739
41.79400199,-0.4516739
41.79500199,-0.4516739
41.79600199,-0.4516739
41.79700199,0.4531998
41.79800199,0.4531998
41.79900199,0.00152593
41.80000199,-0.9048738
41.80100199,0.4531998
41.80200199,0.4531998
41.80300199,-0.9048738
41.80400199,0.9048738
41.80500199,-0.4516739
41.80600199,-1.358074
41.80700199,0.4531998
41.80800199,0.4531998
41.80900199,0.4531998
41.81000199,0.00152593
41.81100199,0.4531998
41.81200199,0.4531998
41.81300199,0.9048738
41.81400199,0.00152593
41.81500199,0.00152593
41.81600199,0.4531998
41.81700199,0.4531998
41.81800199,-0.4516739
41.81900199,0.9048738
41.82000199,-0.9048738
41.82100199,-0.4516739
41.82200199,0.4531998
41.82300199,1.358074
41.82400199,0.4531998
41.82500199,0.4531998
41.82600199,0.9048738
41.82700199,0.4531998
41.82800199,0.9048738
41.82900199,-0.4516739
41.83000199,-0.4516739
41.83100199,0.00152593
41.83200199,0.00152593
41.83300199,0.00152593
41.83400199,0.00152593
41.83500199,0.00152593
41.83600199,0.00152593
41.83700199,0.4531998
41.83800199,1.358074
41.83900199,0.4531998
41.84000199,-0.9048738
41.84100199,0.4531998
41.84200199,0.9048738
41.84300199,-0.4516739
41.84400199,0.00152593
41.84500199,1.358074
41.84600199,0.4531998
41.84700199,0.9048738
41.84800199,0.4531998
41.84900199,0.00152593
41.85000199,0.00152593
41.85100199,-0.4516739
41.85200199,0.9048738
41.85300199,-0.9048738
41.85400199,0.4531998
41.85500199,0.00152593
41.85600199,0.00152593
41.85700199,0.4531998
41.85800199,0.00152593
41.85900199,0.00152593
41.86000199,0.9048738
41.86100199,0.9048738
41.86200199,0.4531998
41.86300199,0.00152593
41.86400199,0.00152593
41.86500199,0.9048738
41.86600199,0.9048738
41.86700199,-0.4516739
41.86800199,0.4531998
41.86900199,0.9048738
41.87000199,-0.4516739
41.87100199,0.00152593
41.87200199,-0.4516739
41.87300199,-0.4516739
41.87400199,0.4531998
41.87500199,0.9048738
41.87600199,1.358074
41.87700199,0.4531998
41.87800199,-0.4516739
41.87900199,0.4531998
41.88000199,0.4531998
41.88100199,0.00152593
41.88200199,-0.4516739
41.88300199,0.00152593
41.88400199,0.9048738
41.88500199,0.4531998
41.88600199,-0.9048738
41.88700199,-0.4516739
41.88800199,-0.4516739
41.88900199,0.00152593
41.89000199,0.9048738
41.89100199,1.358074
41.89200199,-0.9048738
41.89300199,-0.4516739
41.89400199,0.9048738
41.89500199,-0.4516739
41.89600199,0.9048738
41.89700199,-1.358074
41.89800199,-0.4516739
41.89900199,0.4531998
41.90000199,0.00152593
41.90100199,0.4531998
41.90200199,0.9048738
41.90300199,0.00152593
41.90400199,0.4531998
41.90500199,0.9048738
41.90600199,0.00152593
41.90700199,0.00152593
41.90800199,0.9048738
41.90900199,0.4531998
41.91000199,0.4531998
41.91100199,-0.4516739
41.91200199,0.00152593
41.91300199,0.00152593
41.91400199,-0.4516739
41.91500199,0.00152593
41.91600199,0.9048738
41.91700199,-0.4516739
41.91800199,0.00152593
41.91900199,0.9048738
41.92000199,1.358074
41.92100199,0.00152593
41.92200199,0.9048738
41.92300199,-0.9048738
41.92400199,0.9048738
41.92500199,0.00152593
41.92600199,1.358074
41.92700199,0.4531998
41.92800199,0.00152593
41.92900199,-0.4516739
41.93000199,0.00152593
41.93100199,0.9048738
41.93200199,0.9048738
41.93300199,0.4531998
41.93400199,0.9048738
41.93500199,-0.4516739
41.93600199,0.00152593
41.93700199,0.4531998
41.93800199,0.00152593
41.93900199,0.00152593
41.94000199,0.9048738
41.94100199,0.4531998
41.94200199,0.00152593
41.94300199,0.00152593
41.94400199,-0.4516739
41.94500199,0.4531998
41.94600199,1.358074
41.94700199,-0.4516739
41.94800199,0.4531998
41.94900199,0.4531998
41.95000199,-0.4516739
41.95100199,0.9048738
41.95200199,0.4531998
41.95300199,-0.4516739
41.95400199,0.4531998
41.95500199,-0.9048738
41.95600199,-0.4516739
41.95700199,0.9048738
41.95800199,1.358074
41.95900199,0.00152593
41.96000199,0.4531998
41.96100199,0.00152593
41.96200199,-0.9048738
41.96300199,-0.4516739
41.96400199,0.00152593
41.96500199,0.4531998
41.96600199,-0.4516739
41.96700199,0.4531998
41.96800199,-0.4516739
41.96900199,0.4531998
41.97000199,0.9048738
41.97100199,-0.4516739
41.97200199,0.9048738
41.97300199,0.9048738
41.97400199,0.4531998
41.97500199,0.4531998
41.97600199,0.00152593
41.97700199,-0.4516739
41.97800199,0.4531998
41.97900199,0.4531998
41.98000199,-0.4516739
41.98100199,-1.358074
41.98200199,0.4531998
41.98300199,-0.4516739
41.98400199,0.4531998
41.98500199,0.9048738
41.98600199,0.4531998
41.98700199,-0.9048738
41.98800199,0.4531998
41.98900199,0.9048738
41.99000199,0.00152593
41.99100199,0.00152593
41.99200199,0.4531998
41.99300199,1.358074
41.99400199,0.4531998
41.99500199,0.4531998
41.99600199,0.00152593
41.99700199,-0.4516739
41.99800199,0.4531998
41.99900199,-0.4516739
42.00000199,1.811274
42.00100199,0.4531998
42.00200199,-0.4516739
42.003002,0.9048738
42.004002,0.4531998
42.005002,0.00152593
42.006002,0.4531998
42.007002,-0.4516739
42.008002,0.00152593
42.009002,0.00152593
42.010002,0.9048738
42.011002,0.00152593
42.012002,-0.9048738
42.013002,0.9048738
42.014002,0.00152593
42.015002,0.00152593
42.016002,0.00152593
42.017002,-0.9048738
42.018002,0.4531998
42.019002,0.4531998
42.020002,0.9048738
42.021002,0.4531998
42.022002,0.00152593
42.023002,0.9048738
42.024002,0.4531998
42.025002,-0.4516739
42.026002,0.4531998
42.027002,0.00152593
42.028002,0.9048738
42.029002,0.9048738
42.030002,-0.4516739
42.031002,0.00152593
42.032002,0.4531998
42.033002,-0.4516739
42.034002,0.9048738
42.035002,0.4531998
42.036002,0.00152593
42.037002,1.358074
42.038002,0.00152593
42.039002,-0.9048738
42.040002,1.358074
42.041002,0.4531998
42.042002,0.00152593
42.043002,0.9048738
42.044002,-0.9048738
42.045002,-0.4516739
42.046002,-0.4516739
42.047002,0.00152593
42.048002,-0.4516739
42.049002,1.358074
42.050002,-0.9048738
42.051002,0.00152593
42.052002,0.9048738
42.053002,0.00152593
42.054002,0.00152593
42.055002,0.9048738
42.056002,0.9048738
42.057002,0.4531998
42.058002,1.358074
42.059002,-0.4516739
42.060002,0.00152593
42.061002,0.4531998
42.062002,-0.4516739
42.063002,0.9048738
42.064002,0.9048738
42.065002,0.4531998
42.066002,0.9048738
